173,121	10,26	0,26 10,26
93,47	34,26	0,0 34,0
41,12	26,25	0,0 26,0
148,164	31,21	0,21 31,0
149,29	10,23	0,23 10,23
107,189	57,22	0,0 0,22
24,189	42,47	0,0 14,47
170,97	55,22	0,0 55,0
128,22	20,10	0,0 20,0
20,49	37,49	0,0 37,49
70,97	10,22	10,0 5,11
93,150	16,10	0,0 16,5
204,29	24,24	24,0 24,24
47,43	45,18	0,18 45,0
84,100	15,17	0,17 15,17
36,126	44,24	0,16 44,16
127,77	23,14	0,14 23,0
64,198	16,12	0,0 0,12
111,31	13,16	0,0 13,0
170,36	17,19	17,0 17,19
87,139	27,40	0,40 27,0
105,145	17,15	17,0 17,15
131,166	19,23	0,23 19,23
151,60	43,11	0,0 43,11
201,68	35,25	0,0 35,0
105,10	20,14	20,0 20,14
147,133	13,24	0,24 13,0
187,191	15,37	5,0 5,37
168,20	24,13	0,13 24,0
104,181	17,13	0,0 17,0
