111,152	33,47	0,0 33,0 0,47 33,47
55,142	35,25	0,0 35,0 0,25 35,25
73,62	40,21	0,0 40,0 0,7 40,7 0,14 40,14 0,21 40,21
54,193	10,48	0,0 10,0 0,48 10,48
191,7	18,47	0,0 6,0 12,0 18,0 0,47 6,47 12,47 18,47
187,135	29,23	0,0 29,0 0,23 29,23
174,50	45,22	0,0 15,0 30,0 45,0 0,22 15,22 30,22 45,22
33,31	34,29	0,0 34,0 0,29 34,29
193,174	14,14	0,0 14,0 0,14 14,14
155,140	25,20	0,0 25,0 0,20 25,20
136,92	20,31	0,0 20,0 0,31 20,31
71,187	25,29	0,0 25,0 0,29 25,29
104,38	53,11	0,0 53,0 0,11 53,11
83,41	14,24	0,0 14,0 0,24 14,24
29,158	16,41	0,0 16,0 0,41 16,41
7,107	31,21	0,0 31,0 0,21 31,21
128,5	15,10	0,0 15,0 0,10 15,10
53,111	12,20	0,0 12,0 0,20 12,20
22,5	24,10	0,0 12,0 24,0 0,10 12,10 24,10
167,5	11,42	0,0 11,0 0,42 11,42
114,125	10,23	0,0 10,0 0,23 10,23
143,145	11,45	0,0 11,0 0,45 11,45
57,100	37,18	0,0 37,0 0,18 37,18
176,99	12,32	0,0 12,0 0,32 12,32
28,130	18,12	0,0 18,0 0,12 18,12
